list_name,name,label::English (en),label::Arabic (ar),mantika,organisation,shape_code,media::image:: English (en),media::image:: Arabic (ar)
shelter_type,hotel,9. Hotel,ÇáİäÏŞ,,,,,
shelter_type,camp_informal_settlement,10. Camp or informal settlement for displaced persons, ãÎíã Ãæ ãÎíã ÛíÑ ÑÓãí ááäÇÒÍíä,,,,,
shelter_type,other,Other (specify), ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
shelter_type,dwta,Prefer not to answer, áÇ ÃİÖá ÇáÇÌÇÈÉ,,,,,
occupancy_status,ownership,1. Ownership ,ãáß,,,,,
occupancy_status,rental_written_contract,2. Rental (with written contract),ÇíÌÇÑ (ãÚ ÚŞÏ ãßÊæÈ),,,,,
occupancy_status,rental_verbal_agreement,3. Rental (with verbal agreement),ÇíÌÇÑ  (ÈÇÊİÇŞ Ôİåí),,,,,
occupancy_status,hosted_free,4. Being hosted for free,ÊãÊ ÇÓÊÖÇİÊß ãÌÇäÇ,,,,,
occupancy_status,squatting,5. Squatting (without consent of owner),ÇáÇÓÊŞØÇä (Ïæä ãæÇİŞÉ ÇáãÇáß),,,,,
occupancy_status,housing_provided_public_authority,6. Housing provided by public authority,ÇáÓßä ÇáãŞÏã ãä ŞÈá ÇáÓáØÉ ÇáÚÇãÉ,,,,,
occupancy_status,housing_provided_employer,7. Housing provided by employer,ÇáÓßä ÇáãŞÏã ãä ÕÇÍÈ ÇáÚãá,,,,,
occupancy_status,other,Other (specify),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
occupancy_status,dk,Don't know,áÇ ÃÚÑİ,,,,,
occupancy_status,dwta,Prefer not to answer, ÃİÖá ÚÏã ÇáÇÌÇÈÉ,,,,,
change_rental,increased,1. Increased,ÒÇÏ,,,,,
change_rental,decreased,2. Decreased,ÇäÎİÖ,,,,,
change_rental,no_change,3. No change,áã íÊÛíÑ,,,,,
change_rental,dk,Don't know,áÇ ÃÚÑİ,,,,,
change_rental,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
hosted_free_by,hosted_by_family,1. Family,ÇáÚÇÆáÉ,,,,,
hosted_free_by,hosted_by_friends,2. Friends,ÇáÃÕÏŞÇÁ,,,,,
hosted_free_by,other,Other (specify),ÃÎÑì (íÑÌì ÇáÊÍÏíÏ),,,,,
hosted_free_by,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
damage_type,no_negligible_damage,1. No damage / negligible damage,áÇ ÖÑÑ / ÖÑÑ ÖÆíá,,,,,
damage_type,light_damage,"2. Light damage (repairs needed, but shelter is livable)",ÃÖÑÇÑ ØİíİÉ (ÇáÅÕáÇÍÇÊ ÇááÇÒãÉ¡ æáßä ÇáãÃæì ÕÇáÍ ááÚíÔ),,,,minor_damages.jpg,minor_damages.jpg
damage_type,medium_damage,3. Medium damage,ÇáÖÑÑ ãÊæÓØ,,,,moderate_damages.jpg,moderate_damages.jpg
damage_type,heavy_damage,4. Heavy damage (shelter is not livable without repairs),ÃÖÑÇÑ ÌÓíãÉ (ÇáãÓßä ÛíÑ ÕÇáÍ ááÚíÔ Ïæä ÅÕáÇÍÇÊ),,,,severe_damages.jpg,severe_damages.jpg
damage_type,shelter_destroyed,5. Destroyed (shelter needs to be reconstructed),ÏãÑ (íÍÊÇÌ ÇáãÓßä Åáì ÅÚÇÏÉ ÈäÇÆå),,,,,
ownership_documents,do_not_own_property,"1. We do not own a house, land or property",äÍä áÇ äãáß ãäÒáğÇ Ãæ ÃÑÖğÇ Ãæ ããÊáßÇÊ ,,,,,
ownership_documents,never_obtained_ownership_docs,2. We never obtained ownership documents,áã äÍÕá ãØáŞğÇ Úáì ãÓÊäÏÇÊ ÇáãáßíÉ,,,,,
ownership_documents,physically_withme,3. Physically with me,ÇÍãáåÇ ãÚí,,,,,
ownership_documents,not_with_me_secure_place,4. Not with me but in a secure place,áíÓ ãÚí æáßä İí ãßÇä Âãä,,,,,
ownership_documents,docs_lost,5. Lost,ãİŞæÏÉ,,,,,
ownership_documents,docs_stolen_confiscated,6. Stolen or confiscated,ãÓÑæŞÉ Ãæ ãÕÇÏÑÉ,,,,,
ownership_documents,dk,Don't know,áÇ ÃÚÑİ,,,,,
ownership_documents,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
eviction_threat,yes_threatened_with_eviction,"1. Yes, have been threatened with eviction",äÚã¡ Êã ÊåÏíÏí ÈÇáÅÎáÇÁ,,,,,
eviction_threat,yes_recently_evicted,"2. Yes, have been recently evicted",äÚã¡ Êã ÅÎáÇÁäÇ ãÄÎÑğÇ,,,,,
eviction_threat,no_eviction_threat,3. No,áÇ,,,,,
eviction_threat,dk,Don't know,áÇ ÃÚÑİ,,,,,
eviction_threat,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
eviction_shelter_reasons,forced_eviction,"1. Forced eviction, i.e. from armed group pressure or land-grabbing",ÇáÅÎáÇÁ ÇáŞÓÑí¡ Ãí ãä ÖÛØ ÇáÌãÇÚÇÊ ÇáãÓáÍÉ Ãæ ÇáÇÓÊíáÇÁ Úáì ÇáÃÑÇÖí,,,,,
eviction_shelter_reasons,land_acquisitions,2. Land acquisitions,ÇáÇÓÊÍæÇĞ Úáì ÇáÃÑÇÖí,,,,,
eviction_shelter_reasons,clearance_camp_public_space_authorities,3. Clearance of camp/public space by authorities,ÇÒÇáÉ ÇáãÎíãÇÊ / ÇáÃãÇßä ÇáÚÇãÉ ãä ŞÈá ÇáÓáØÇÊ,,,,,
eviction_shelter_reasons,discrimination_ethnicity_tribe,4. Discrimination based on ethnicity/tribe,ÇáÊãííÒ Úáì ÃÓÇÓ ÇáÚÑŞ / ÇáŞÈíáÉ,,,,,
eviction_shelter_reasons,cannot_afford_rent,5. Cannot afford rent,áÇ íãßä ÊÍãá ÇáÅíÌÇÑ,,,,,
eviction_shelter_reasons,no_docs_prove_ownership,6. No documentation to prove legal ownership,áÇ ÊæÌÏ æËÇÆŞ ÊËÈÊ ÇáãáßíÉ ÇáŞÇäæäíÉ,,,,,
eviction_shelter_reasons,punitive_measures_retaliatory_actions,"7. Punitive measures or retaliatory ""law and order"" actions","ÇáÅÌÑÇÁÇÊ ÇáÚŞÇÈíÉ Ãæ ÇáÃÚãÇá ÇáÇäÊŞÇãíÉ ""ÇáŞÇäæä æÇáäÙÇã""",,,,,
eviction_shelter_reasons,authorities_requested_hh_leave,8. Authorities requested our household to leave ,ØáÈÊ ÇáÓáØÇÊ ãä ÚÇÆáÊäÇ ÇáãÛÇÏÑÉ,,,,,
eviction_shelter_reasons,host_family_nolonger_unable_tohost,9. Host family no longer able to host our family,ÇáÚÇÆáÉ ÇáãÖíİÉ áã ÊÚÏ ŞÇÏÑÉ Úáì ÇÓÊÖÇİÉ ÚÇÆáÊäÇ,,,,,
eviction_shelter_reasons,request_vacate_from_owner,10. Request to vacate from owner of buidling/land, ØáÈ ÇáÅÎáÇÁ ãä ãÇáß ÇáãÈäì / ÇáÃÑÖ,,,,,
eviction_shelter_reasons,other,Other (specify), ÃÎÑì (íÑÌì ÇáÊÍÏíÏ),,,,,
hh_basic_items,hh_doesnt_own_it,1. My household does not own this object,ÚÇÆáÊí áÇ Êãáß åĞÇ ÇáÛÑÖ,,,,,
hh_basic_items,hh_owns_it_need_more,2. My household owns this but needs another / more,ÊãÊáß ÃÓÑÊí åĞÇ æáßäåÇ ÊÍÊÇÌ Åáì ÃÎÑì / ÃßËÑ,,,,,
hh_basic_items,hh_owns_enough,3. My household owns enough of this and does not need more, ÚÇÆáÊí ÊãÊáß ãÇ íßİí ãä åĞÇ æáÇ ÊÍÊÇÌ Åáì ÇáãÒíÏ,,,,,
hh_basic_items,other,Other (specify),ÃÎÑì (íÑÌì ÇáÊÍÏíÏ),,,,,
hh_basic_items,dk,Don't know,áÇ ÃÚÑİ,,,,,
hh_basic_items,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
hh_basic_items,hh_doesnt_need_it,My household does not need this object,,,,,,
electricity_source,government_grid,1. Public network connected to shelter (government grid),ÔÈßÉ ÚÇãÉ ãÊÕáÉ ÈÇáãÓßä (ÔÈßÉ ÍßæãíÉ),,,,,
electricity_source,generator,2. Generator,ãæáÏ,,,,,
electricity_source,no_source_electricity_shelter,3. No source of electricity in shelter,áÇ íæÌÏ ãÕÏÑ ááßåÑÈÇÁ İí ÇáãÓßä,,,,,
electricity_source,other,Other (specify),ÃÎÑì (íÑÌì ÇáÊÍÏíÏ),,,,,
electricity_source,dk,Don't know,áÇ ÃÚÑİ,,,,,
electricity_source,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
phone_network_coverage,coverage_exists_reliable,"1. Yes, mobile network coverage exists and is reliable at this dwelling.", äÚã ¡ ÊæÌÏ ÊÛØíÉ áÔÈßÉ ÇáåÇÊİ ÇáãÍãæá æåí ÌíÏÉ İí åĞå ÇáãÓßä.,,,,,
phone_network_coverage,coverage_exists_not_reliable,"2. No, mobile network coverage exists but is not reliable at this dwelling. ",áÇ¡ ÊæÌÏ ÊÛØíÉ áÔÈßÉ ÇáåÇÊİ ÇáãÍãæá æáßäåÇ ÛíÑ ÌíÏÉ İí åĞå ÇáãÓßä.,,,,,
phone_network_coverage,coverage_doesnt_exist,"3. No, mobile network coverage does not exist at this dwelling.",áÇ ¡ ÊÛØíÉ ÔÈßÉ ÇáåÇÊİ ÇáãÍãæá ÛíÑ ãæÌæÏÉ İí åĞå ÇáãÓßä.,,,,,
phone_network_coverage,dk,Don't know,áÇ ÃÚÑİ,,,,,
issues_faced_attending_school,no_issue_faced_attending_school,1. No issues faced by children in the household when attending school,áÇ ÊæÌÏ ãÔÇßá ÊæÇÌå ÇáÃØİÇá İí ÇáÃÓÑÉ ÚäÏ ÇáĞåÇÈ Åáì ÇáãÏÑÓÉ,,,,,
issues_faced_attending_school,lack_functioning_latrines,2. Lack of functioning latrines,ÚÏã æÌæÏ ãÑÇÍíÖ ÔÛÇáÉ,,,,,
issues_faced_attending_school,lack_seperate_safe_toilets,3. Lack of separate and safe toilets for boys and girls,ÚÏã æÌæÏ ãÑÇÍíÖ ãäİÕáÉ æÂãäÉ ááİÊíÇä æÇáİÊíÇÊ,,,,,
issues_faced_attending_school,lack_clean_water,4. Lack of clean water,äŞÕ ÇáãíÇå ÇáäÙíİÉ,,,,,
issues_faced_attending_school,lack_accessibility_disabled,5. Lack of accessibility for students living with disabilities,ÚÏã ÊæİÑ ÅãßÇäíÉ ÇáæÕæá ááØáÇÈ ÇáĞíä íÚÇäæä ãä ÅÚÇŞÇÊ,,,,,
issues_faced_attending_school,overcrowding_class,6. Overcrowding,ÇáÇßÊÙÇÙ,,,,,
issues_faced_attending_school,poor_quality_teachers,7. Poor quality of teachers,ÖÚİ İí ßİÇÁÉ,,,,,
issues_faced_attending_school,violence_from_teacher,8. Violence from teachers (excluding sexual violence or harassment),ÇáÚäİ ãä ŞÈá ÇáãÚáãíä (ÈÇÓÊËäÇÁ ÇáÚäİ ÇáÌäÓí Ãæ ÇáÊÍÑÔ),,,,,
issues_faced_attending_school,violence_from_students,9. Bullying/violence from other students (excluding sexual violence or harassment),ÇáÈáØÌÉ / ÇáÚäİ ãä ÇáØáÇÈ ÇáÂÎÑíä (ÈÇÓÊËäÇÁ ÇáÚäİ ÇáÌäÓí Ãæ ÇáÊÍÑÔ),,,,,
issues_faced_attending_school,sexual_violence_harassment,10. Sexual violence or harassment,ÇáÚäİ ÇáÌäÓí Ãæ ÇáãÖÇíŞÉ,,,,,
issues_faced_attending_school,discrimination_school,11. Discrimination, ÇáÊãííÒ,,,,,
issues_faced_attending_school,attempted_recruitment_armed_actors,12. Attempted recruitment by armed actors, ãÍÇæáÉ ÇáÊÌäíÏ ãä ŞÈá ÇáÌåÇÊ ÇáİÇÚáÉ ÇáãÓáÍÉ,,,,,
issues_faced_attending_school,school_building_conversion_other_purpose,"13. School building conversion into other purposes (displaced accommodation, military barracks, etc.)", ÊÍæíá ãÈäì ÇáãÏÑÓÉ Åáì ÃÛÑÇÖ ÃÎÑì (Óßä ÇáäÇÒÍíä¡ æÇáËßäÇÊ ÇáÚÓßÑíÉ¡ æãÇ Åáì Ğáß),,,,,
issues_faced_attending_school,other,Other (specify), ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
issues_faced_attending_school,dk,Don't know, áÇ ÃÚÑİ,,,,,
issues_faced_attending_school,dwta,Prefer not to answer, ÃİÖá ÚÏã ÇáÇÌÇÈÉ,,,,,
not_attending_school_since,less_1month,1. Less than 1 month,ÃŞá ãä ÔåÑ æÇÍÏ,,,,,
not_attending_school_since,between_1_3months,2. 1-3 months,ãä ÔåÑ Çáì 3 ÃÔåÑ,,,,,
not_attending_school_since,between_4_6months,3. 4-6 months,ãä 4 ÃÔåÑ Åáì 6 ÃÔåÑ,,,,,
not_attending_school_since,more_than_6months,4. More than 6 months,ÃßËÑ ãä 6 ÃÔåÑ,,,,,
not_attending_school_since,2018_2019schoolyear,5. Entire 2018-2019 school year ,ßÇãá 2018-2019 ÇáÚÇã ÇáÏÑÇÓí,,,,,
not_attending_school_since,dk,Don't know,áÇ ÃÚÑİ,,,,,
not_attending_school_since,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
droppedout_school_reasons,school_infrastructure_used_other_purpose,"1. Problems with school infrastructure, or school is used for other purpose",ãÔÇßá İí ÇáÈäíÉ ÇáÊÍÊíÉ ááãÏÑÓÉ¡ Ãæ ÅÓÊÎÏÇã ÇáãÏÑÓÉ  áÛÑÖ ÂÎÑ,,,,,
droppedout_school_reasons,means_transportations_materials_food,"2. Problems with means, transport, materials, or food",ãÔÇßá İí æÓÇÆá ÇáäŞá¡ ÇáãæÇÏ¡ Ãæ ÇáØÚÇã,,,,,
droppedout_school_reasons,quality_curriculum_capacity,"3. Problems with quality, curriculum, or capacity",ãÔÇßá İí ÇáÌæÏÉ Ãæ ÇáãäÇåÌ Ãæ ÇáŞÏÑÇÊ,,,,,
droppedout_school_reasons,safety_security_school,4. Problems with safety and security,ãÔÇßá ãÚ ÇáÓáÇãÉ æÇáÃãä,,,,,
droppedout_school_reasons,child_health_marriage_labour,"5. Problems with child's health or behavior, lack of documentation, child marriage or pregnancy, discrimination, or the need for the child to work at home or for a salary",ãÔÇßá İí ÕÍÉ ÇáØİá Ãæ Óáæßå¡ Ãæ äŞÕ ÇáæËÇÆŞ¡ Ãæ ÒæÇÌ ÇáÃØİÇá Ãæ ÇáÍãá¡ Ãæ ÇáÊãííÒ¡ Ãæ ÍÇÌÉ ÇáØİá Åáì ÇáÚãá İí ÇáãäÒá Ãæ ááÍÕæá Úáì ÑÇÊÈ,,,,,
droppedout_school_reasons,other,Other (specify),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
droppedout_school_reasons,dk,Don't know,áÇ ÃÚÑİ,,,,,
droppedout_school_reasons,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
school_infrastructure_problems,lack_basic_amenities_school,"1. Lack of basic amenities at school (potable water, heat, electricity)",ÇáÇİÊŞÇÑ Åáì ÇáãÑÇİŞ ÇáÃÓÇÓíÉ İí ÇáãÏÑÓÉ (ãíÇå ÇáÔÑÈ æÇáÊÏİÆÉ æÇáßåÑÈÇÁ),,,,,
school_infrastructure_problems,lack_infrastructure,2. Lack of infrastructure (school buildings or classrooms) to accommodate all children,äŞÕ İí ÇáÈäíÉ ÇáÊÍÊíÉ (ÇáãÈÇäí ÇáãÏÑÓíÉ Ãæ ÇáİÕæá ÇáÏÑÇÓíÉ) áÇÓÊíÚÇÈ ÌãíÚ ÇáÃØİÇá,,,,,
school_infrastructure_problems,lack_latrines_bygender,3. Lack of latrines separated by sex,İŞÏÇä ÇáãÑÇÍíÖ ÇáãİÕæáÉ ÍÓÈ ÇáÌäÓ,,,,,
school_infrastructure_problems,overcrowding_schools,4. Local schools overcrowded/lack of space in local schools,ÇáãÏÇÑÓ ÇáãÍáíÉ ãßÊÙÉ / äŞÕ ÇáãÓÇÍÉ İí ÇáãÏÇÑÓ ÇáãÍáíÉ,,,,,
school_infrastructure_problems,school_used_other_purposes,5. School is used for other purpose,ÅÓÊÎÏÇã ÇáãÏÑÓÉ áÃÛÑÇÖ ÃÎÑì,,,,,
school_means_transportation_problems,distance_transport_constraint,1. Distance or transport constraint,ãÔÇßÜÜá ÇáäŞÜÜá Ãæ ÇáãÓÇİÉ,,,,,
school_means_transportation_problems,school_fees_costs,2. School fees or costs,ÇáÑÓæã ÇáãÏÑÓíÉ Ãæ ÇáÊßÇáíİ,,,,,
school_means_transportation_problems,lack_teaching_learning_materials,3. Lack of teaching and learning materials or supplies,ÚÏã æÌæÏ ãæÇÏ ãÏÑÓíÉ Ãæ ãæÇÏ ÊÚáíãíÉ,,,,,
school_means_transportation_problems,lack_foods,4. Lack of food,äŞÕ ÇáÛĞÇÁ,,,,,
school_quality_curriculum_problems,language,1. Language,ÇááÛÉ,,,,,
school_quality_curriculum_problems,school_level_unavailable,"2. One or more school level is not available (pre-primary, primary, secondary, tertiary).",ãÓÊæì æÇÍÏ Ãæ ÃßËÑ ãä ÇáãÏÇÑÓ ÛíÑ ãÊÇÍ (ÊãåíÏí¡ ÇÓÇÓí¡ ÇáËÇäæí¡ ÇáÚÇáí).,,,,,
school_quality_curriculum_problems,lack_teachers,3. Lack of teachers,äŞÕ ÇáãÚáãíä,,,,,
school_quality_curriculum_problems,poor_quality_teaching,4. Poor quality of teaching,ÖÚİ ÌæÏÉ ÇáÊÏÑíÓ,,,,,
school_quality_curriculum_problems,education_not_seen_useful,5. Education is not seen as useful,áÇ íÚÊÈÑ ÇáÊÚáíã ãİíÏğÇ,,,,,
school_quality_curriculum_problems,classes_not_culturaly_age_appropriate,6. What is taught is not culturally or age appropriate,ãÇ íÊã ÊÏÑíÓå áíÓ ãäÇÓÈÇğ ãä ÇáäÇÍíÉ ÇáËŞÇİíÉ Ãæ ÇáÚãÑíÉ,,,,,
school_safety_security_problems,insecurity_toschool,1. Insecurity on the way to school or in the area (real or perceived),ÇäÚÏÇã ÇáÃãä İí ÇáØÑíŞ Åáì ÇáãÏÑÓÉ Ãæ İí ÇáãäØŞÉ (ÍŞíŞíÉ Ãæ ãÊÕæÑÉ),,,,,
school_safety_security_problems,child_joined_armed_groups,2. The child joined an armed group or military.,ÇäÖã ÇáØİá Åáì ÌãÇÚÉ ãÓáÍÉ Ãæ ÚÓßÑíÉ.,,,,,
school_safety_security_problems,violence_school,3. Violence at school,ÇáÚäİ İí ÇáãÏÑÓÉ,,,,,
school_safety_security_problems,dispalced_by_conflict,4. Displaced by conflict,ÇáäÇÒÍæä ÈÓÈÈ ÇáäÒÇÚ,,,,,
school_safety_security_problems,displaced_natural_disaster,5. Displaced by natural disaster,ÇáäÇÒÍæä ÈÓÈÈ ÇáßæÇÑË ÇáØÈíÚíÉ,,,,,
school_child_vulnerabilities_problems,child_prolonged_illness,1. The child has a prolonged illness.,ÇáØİá íÚÇäí ãä ãÑÖ Øæíá.,,,,,
school_child_vulnerabilities_problems,child_disability_issues,2. The child has a disability (access issue).,ÇáØİá áÏíå ÅÚÇŞÉ (ãÔßáÉ ÇáæÕæá).,,,,,
school_child_vulnerabilities_problems,child_on_the_move,3. The child has been displaced,ÇáØİá äÒÍ.,,,,,
school_child_vulnerabilities_problems,lack_doc_school,4. Lack of documentation,äŞÕ ÇáæËÇÆŞ,,,,,
school_child_vulnerabilities_problems,child_marriage_school,5. Child marriage,ÒæÇÌ ÇáØİá,,,,,
school_child_vulnerabilities_problems,social_discrimination_school,"6. Social discrimination (due to ethnicity, religion, poverty, gender, health, disability, or other)",ÇáÊãííÒ ÇáÇÌÊãÇÚí (ÈÓÈÈ ÇáÚÑŞ Ãæ ÇáÏíä Ãæ ÇáİŞÑ Ãæ ÇáÌäÓ Ãæ ÇáÕÍÉ Ãæ ÇáÅÚÇŞÉ Ãæ ÛíÑ Ğáß),,,,,
school_child_vulnerabilities_problems,suspended_expelled,7. Suspended or expelled for performance or behaviour issues,Êã ÊæŞíİå Ãæ ØÑÏå ÈÓÈÈ ãÔÇßá İí ÇáÃÏÇÁ Ãæ ÇáÓáæß,,,,,
school_child_vulnerabilities_problems,child_pregnant_has_child,"8. The child is pregnant, lactating, or has a child of her own.",ÇáØİáÉ ÍÇãá Ãæ ãÑÖÚÉ Ãæ áÏíåÇ Øİá .,,,,,
school_child_vulnerabilities_problems,child_busy_chores,9. The child is busy with chores.,ÇáØİá ãÔÛæá ÈÇáÃÚãÇá ÇáãäÒáíÉ.,,,,,
school_child_vulnerabilities_problems,child_works,10. The child works., ÇáØİá íÚãá.,,,,,
school_reenrollment_problems,didnt_attempt_reenroll,"1. No, have not attempted to re-enroll",áÇ¡ áã ÇÍÇæá ÅÚÇÏÉ ÇáÊÓÌíá,,,,,
school_reenrollment_problems,lack_necessary_docs,"2. Yes, lack necessary documentation",äÚã¡ ÇİÊŞÑ Åáì ÇáæËÇÆŞ ÇááÇÒãÉ,,,,,
school_reenrollment_problems,missed_enrollment_period,"3. Yes, missed enrollment period due to displacement",äÚã¡ ÛÇÈ Úä İÊÑÉ ÇáÊÓÌíá ÈÓÈÈ ÇáäÒæÍ,,,,,
school_reenrollment_problems,other,Other (specify),äÚã¡ ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
school_reenrollment_problems,dk,Don't know,áÇ ÃÚÑİ,,,,,
school_reenrollment_problems,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
nonformal_education,no,No,áÇ,,,,,
nonformal_education,yes_nonformal_classes_byschool,"2. Yes, non-formal education classes provided by a public school ",äÚã¡ ÏÑæÓ ÇáÊŞæíÉ ÇáÊí ÊŞÏãåÇ ÇáãÏÑÓÉ ÇáÍßæãíÉ,,,,,
nonformal_education,yes_nonformal_classes_bycommunity,"3. Yes, non-formal education classes provided by the community",äÚã¡ ÏÑæÓ ÇáÊŞæíÉ ÇáÊí íŞÏãåÇ ÇáãÌÊãÚ,,,,,
nonformal_education,yes_nonformal_privatebusiness,"4. Yes, non-formal education classes provided by private-sector businesses", äÚã¡ ÏÑæÓ ÇáÊŞæíÉ ÇáÊí ÊŞÏãåÇ ÇãÇßä ÎÇÕÉ ÈãŞÇÈá,,,,,
nonformal_education,yes_selflearning,"5. Yes, self-learning or homeschooling",äÚã¡ ÇáÊÚáã ÇáĞÇÊí Ãæ ÇáÊÚáíã ÇáãäÒáí,,,,,
nonformal_education,yes_assistance_ngos,"6. Yes, assistance from NGOs or other outside actors",äÚã¡ ÇáãÓÇÚÏÉ ãä ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ Ãæ ÇáÌåÇÊ ÇáİÇÚáÉ ÇáÎÇÑÌíÉ ÇáÃÎÑì,,,,,
nonformal_education,other,Other (specify),äÚã¡ ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
nonformal_education,dk,Don't know,áÇ ÃÚÑİ,,,,,
nonformal_education,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
water_sources,public_network,1. Public network (connected to the shelter),ÔÈßÉ ÚÇãÉ (ãÊÕáÉ ÈÇáãÓßä),,,,,
water_sources,bottled_water,2. Bottled water,ÇáãíÇå ÇáãÚÈÃÉ İí ÒÌÇÌÇÊ,,,,,
water_sources,water_trucking,3. Water trucking,ÇáäŞá ÈÇáÔÇÍäÇÊ ÇáãíÇå,,,,,
water_sources,public_tap,4. Tap accessible to the public  ,ÕäÈæÑ ãíÇå Úãæãí,,,,,
water_sources,protected_well,"5. Protected well (e.g., in your house or in the mosque)",ÆÑ ãÍãíÉ (Úáì ÓÈíá ÇáãËÇá¡ İí ãäÒáß Ãæ İí ÇáãÓÌÏ),,,,,
water_sources,unprotected_well,6. Unprotected well,ÈÆÑ ÛíÑ ãÍãí,,,,,
water_sources,surface_water,"7. Surface water (lakes, ponds, rivers, etc.)",ÇáãíÇå ÇáÓØÍíÉ (ÇáÈÍíÑÇÊ æÇáÈÑß æÇáÃäåÇÑ¡ æãÇ Åáì Ğáß),,,,,
water_sources,rainwater,8. Rainwater,ãíÇå ÇáÃãØÇÑ,,,,,
water_sources,other,Other (specify),ÛíÑåÇ (íÑÌì ÇáÊÍÏíÏ),,,,,
water_sources,dk,Don't know, áÇ ÃÚÑİ,,,,,
water_sources,dwta,Prefer not to answer, ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
distance_drinkingwater,upto_100m,1. Up to 100m,íÕá Åáì 100 ãÊÑ,,,,,
distance_drinkingwater,between_101_200m,2. 101-200m,ãä 101 Åáì 200 ãÊÑ,,,,,
distance_drinkingwater,between_201_300m,3. 201-300m,ãä 201 Åáì 300 ãÊÑ,,,,,
distance_drinkingwater,between_301_400m,4. 301-400m,ãä 301 Åáì 400 ãÊÑ,,,,,
distance_drinkingwater,between_401_500m,5. 401-500m,ãä 401 Åáì 500 ãÊÑ,,,,,
distance_drinkingwater,more_500m,6. 500m or more,500 ãÊÑ Ãæ ÃßËÑ,,,,,
water_quality,water_fine_todrink,1. Water is fine to drink ,ÇáãíÇå ÕÇáÍÉ ááÔÑÈ,,,,,
water_quality,water_taste_notgood,2. Taste is not good ,ÇáØÚã áíÓ ÌíÏÇ,,,,,
water_quality,water_smell_notgood,3. Smell is not good ,ÇáÑÇÆÍÉ áíÓÊ ÌíÏÉ,,,,,
water_quality,water_discloured,4. Water is discoloured,áæä ÇáãÇÁ ãÊÛíÑ,,,,,
water_quality,water_causes_health_issues,5. Water causes health issues (like diarrhea),ÇáãÇÁ íÓÈÈ ãÔÇßá ÕÍíÉ (ãËá ÇáÅÓåÇá),,,,,
water_quality,other,Other (specify),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
water_quality,dk,Don't know,áÇ ÃÚÑİ,,,,,
water_quality,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
water_treatment,no_treatment_used,1. No treatment methods used,áÇ ÊæÌÏ ØÑŞ ãÚÇáÌÉ ãÓÊÎÏãÉ,,,,,
water_treatment,boiling,2. Boiling,ÇáÛáíÇä,,,,,
water_treatment,disinfection,"3. Disinfection (tablets, iodine, etc.)",ÇáÊØåíÑ (ÃŞÑÇÕ¡ ÇáíæÏ¡ ÅáÎ),,,,,
water_treatment,water_filters,4. Water filters,ãÑÔÍÇÊ ÇáãíÇå (ÇáİáÇÊÑ),,,,,
water_treatment,other,Other (specify),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
water_treatment,dk,Don't know,áÇ ÃÚÑİ,,,,,
water_treatment,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
access_public_water_network,every_day,1. Every day (7 days),ßá íæã (7 ÃíÇã),,,,,
access_public_water_network,most_days,2. Most days (4-6 days),ãÚÙã ÇáÃíÇã (4-6 ÃíÇã),,,,,
access_public_water_network,rarely,3. Rarely (1-3 days),äÇÏÑğÇ (1-3 ÃíÇã),,,,,
access_public_water_network,not_at_all,4. Not at all (0 days),áÇ Úáì ÇáÅØáÇŞ (0 íæãğÇ),,,,,
access_public_water_network,dk,Don't know,áÇ ÃÚÑİ,,,,,
access_public_water_network,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
