type,name,label::English (en),required,default,relevant,appearance,constraint,constraint_message::English (en),label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count,parameters
select_one hh_basic_items,radio,13. Radio,yes,,,quick,,, ÑÇÏíæ,,,,,,,
text,radio_other,"If other, Please specify",yes,,${radio}='other',,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
select_one hh_basic_items,tv,14. TV,yes,,,quick,,, ÇáÊáİÒíæä,,,,,,,
text,tv_other,"If other, Please specify",yes,,${tv}='other',,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
select_one hh_basic_items,desktop_laptop_computer,15. Desktop or laptop computer,yes,,,quick,,, ßãÈíæÊÑ ÇáãßÊÈ Ãæ ÇáßãÈíæÊÑ ÇáãÍãæá,,,,,,,
text,desktop_laptop_computer_other,"If other, Please specify",yes,,${desktop_laptop_computer}='other',,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
select_one hh_basic_items,generator,16. Generator,yes,,,quick,,, ãæáÏ ßåÑÈÇÆí,,,,,,,
text,generator_other,"If other, Please specify",yes,,${generator}='other',,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
select_one hh_basic_items,construction_materials_equipment,17. Construction materials and equipment,yes,,,quick,,, ãæÇÏ  æÇáãÚÏÇÊ ÇáÈäÇÁ,,,,,,,
text,construction_materials_equipment_other,"If other, Please specify",yes,,${construction_materials_equipment}='other',,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
end_group,,,,,,,,,,,,,,,,
select_one electricity_source,electricity_source,What is the most common source of electricity used by your household? ,yes,,,quick,,,ãÇ åæ ÇáãÕÏÑ ÇáÃßËÑ ÔíæÚÇ ááßåÑÈÇÁ ÇáÊí ÊÓÊÎÏãå ÃÓÑÊß¿,,,,,,,
text,electricity_source_other,"If other, Please specify",yes,,${electricity_source}='other',,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
integer,power_cuts,"Over the past 7 days, on average for how many hours per day has your household experienced power outages from the main network?",yes,,${electricity_source}='government_grid',,.>=0 and .<=24,the number should be between 0 and 24, ÎáÇá ÇáÃíÇã ÇáÓÈÚÉ ÇáãÇÖíÉ¡ ãÇåæ ãÚÏá ÚÏÏ ÇáÓÇÚÇÊ ÇáíæãíÉ  ÇáÊí ÊÚÇäí İíåÇ ÃÓÑÊß ãä ÇäŞØÇÚ ÇáÊíÇÑ ÇáßåÑÈÇÆí ãä ÇáÔÈßÉ ÇáÑÆíÓíÉ¿ ,íÌÈ Ãä íßæä ÇáÑŞã Èíä 0 æ 24,,,Please include hours when the household has needed to run a generator due to a lack of electricity,íÑÌì ÇíÖÇ ÅÍÊÓÇÈ ÇáÓÇÚÇÊ ÇáÊí Êßæä İíåÇ ÇáÃÓÑÉ ÈÍÇÌÉ Åáì ÊÔÛíá ãæáÏ ÈÓÈÈ ÚÏã æÌæÏ ÇáßåÑÈÇÁ,,
select_one phone_network_coverage,phone_network_coverage,Do you have reliable mobile phone network coverage at your current dwelling?,yes,,,quick,,,åá áÏíß ÊÛØíÉ İÚÇáÉ áÔÈßÉ ÇáåÇÊİ ÇáãÍãæá İí ãÓßäß ÇáÍÇáí¿,,,,"Reliable coverage means that the mobile network has few or no outages, and that any outages are short (i.e., <3 hours) and infrequent (i.e., <1 per week)", ÇáãŞÕæÏ ÈÇáÊÛØíÉ ÇáİÚÇáÉ åæ Ãä ÔÈßÉ ÇáåÇÊİ ÇáãÍãæá ŞáíáÇğ ãÇ ÊÊÚÑÖ Åáì ÍÇáÇÊ ÇäŞØÇÚ ÇáÊíÇÑ ÇáßåÑÈÇÆí Ãæ áÇ ÊÊÚÑÖ Åáì Ãí ÅäŞØÇÚ ßåÑÈÇÆí¡ æÃä Ãí ÇäŞØÇÚ İí ÇáÎÏãÉ íßæä ŞÕíÑÇğ (Ãí ÃŞá ãä 3 ÓÇÚÇÊ) æäÇÏÑÇğ (Ãí ÃŞá ãä 1 İí ÇáÃÓÈæÚ),,
end_group,,,,,,,,,,,,,,,,
note,cash_markets_section,Cash and Markets,,,,,,,ÇáäŞÏ æ ÇáÃÓæÇŞ ,,,,,,,
begin_group,cash_markets,Cash and Markets,yes,,,,,,ÇáäŞÏ æ ÇáÃÓæÇŞ ,,,,,,,
begin_group,type_jobs_adults_male,How many male adults (aged 18 and over) in your household have worked in the following types of jobs in the past 30 days?,yes,,${over18_male} >0,field-list,,,ßã ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛíä (18 ÓäÉ İÃßËÑ) İí ÃÓÑÊß¡  ÇáĞíä ÚãáæÇ ÎáÇá 30 íæãÇ ÇáãÇÖíÉ İí  ÃäæÇÚ ÇáæÙÇÆİ ÇáÊÇáíÉ¿,,,,,,,
integer,permanent_job_adult_male,1. Permanent job with annual/monthly/weekly wage,yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults ,æÙíİÉ ÏÇÆãÉ ÈÃÌÑ Óäæí / ÔåÑí / ÃÓÈæÚí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,temporary_job_adult_male,2. Temporary job with weekly/daily/monthly wage,yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults ,æÙíİÉ ãÄŞÊÉ ÈÃÌÑ ÃÓÈæÚí / íæãí / ÔåÑí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,daily_labour_adult_male,3. Daily labour,yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults ,Úãá íæãí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,gvt_payroll_adult_male,4. Permanent job (government payroll) without regular attendance,yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults ,æÙíİÉ ÏÇÆãÉ (ÑÇÊÈ Íßæãí) ÈÏæä ÍÖæÑ ãäÊÙã,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,other_job_adult_male,5. Other (specify),yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults ,ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ)  ,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
end_group,,,,,,,,,,,,,,,,
calculate,calcul_jobs_adults_male_nb,,,,,,,,,,,${permanent_job_adult_male}+${temporary_job_adult_male}+${daily_labour_adult_male}+${gvt_payroll_adult_male}+${other_job_adult_male},,,,
note,error_jobs_adults_male_nb,the numbers of male adults that have worked in the past 30 days is greater than the number of male adults in this HH,yes,,${over18_male} < ${calcul_jobs_adults_male_nb},,,,ÚÏÏ ÇáĞßæÑ ÇáÈÇáÛíä ÇáĞíä ÚãáæÇ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ ÃßÈÑ ãä ÚÏÏ ÇáÈÇáÛíä İí åĞå ÇáÃÓÑÉ,,,,,,,
text,type_jobs_adults_male_other,"If other, Please specify",yes,,${other_job_adult_male}>0,,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
begin_group,type_institution_male,"In total, how many men (aged 18 and over) in your household worked for the following types of institutions in the past 30 days?",yes,,${over18_male} >0,field-list,,,İí ÇáãÌãæÚ¡ ßã ÚÏÏ ÃİÑÇÏ ÃÓÑÊß ãä ÇáÑÌÇá (18 ÓäÉ İãÇ İæŞ) ÇáĞíä ÚãáæÇ İí ÇáÃäæÇÚ ÇáÊÇáíÉ ãä ÇáãÄÓÓÇÊ ÎáÇá ÇáÜ 30 íæãğÇ ÇáãÇÖíÉ¿,,,,,,,
integer,gvt_public_sector_male,1. Government or public sector,yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults,ÇáŞØÇÚ ÇáÍßæãí Ãæ ÇáÚÇã,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÑÌÇá ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,,,,
integer,libyan_owned_business_male,2. Libyan-owned business (private sector),yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults,ÇáãÄÓÓÇÊ ÇáÊÌÇÑíÉ ÇááíÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÑÌÇá ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,,,,
integer,foreign_owned_business_male,3. Foreign-owned business (private sector),yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults,ÇáãÄÓÓÇÊ ÇáÊÌÇÑíÉ ÇáÃÌäÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÑÌÇá ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,,,,
integer,libyan_ngos_csos_male,"4. Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults,ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇááíÈí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇááíÈíÉ¡ ãäÙãÇÊ ÇáãÌÊãÚ ÇáãÏäí¡ ÅáÎ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÑÌÇá ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,,,,
integer,international_ngos_male,"5. International non-profit sector (international NGO, UN agency, etc.)",yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults,ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇáÚÇáãí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇáÏæáíÉ¡ ææßÇáÇÊ ÇáÃãã ÇáãÊÍÏÉ¡ ÅáÎ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÑÌÇá ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,,,,
integer,own_family_business_male,6. Own business or family business,yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults,ÇáãÄÓÓÇÊ ÇáÊÌÇÑíÉ ÇáÎÇÕÉ Ãæ ÇáÚÇÆáíÉ,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÑÌÇá ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,,,,
integer,informal_irregular_labour_male,7. Informal or irregular labour,yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults,ÇáÚãá ÛíÑ ÇáÑÓãí Ãæ ÛíÑ ÇáãäÊÙã,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÑÌÇá ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,,,,
integer,other_institution_male,8. Other (please specify),yes,,,,. >=0 and .<= ${over18_male},The number is greater than the total number of male adults,ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÑÌÇá ÇáÈÇáÛíä İí ÇáÇÓÑÉ ,,,,,,
end_group,,,,,,,,,,,,,,,,
calculate,calcul_type_institution_male,,,,,,,,,,,${gvt_public_sector_male}+${libyan_owned_business_male}+${foreign_owned_business_male}+${libyan_ngos_csos_male}+${international_ngos_male}+${own_family_business_male}+${informal_irregular_labour_male}+${other_institution_male},,,,
note,calcul_type_institution_male_error,The total number of male adults entered in the question of different types of jobs does not match the total number of male adults entered in the question of different type of intitutions,yes,,${calcul_type_institution_male}!=${calcul_jobs_adults_male_nb},,,,ãÌãæÚ ÚÏÏ ÇáÈÇáÛíä ÇáĞßæÑ ÇáĞí Êã ÇÏÎÇáå İí ÓÄÇá Úä ãÎÊáİ ÃäæÇÚ ÇáæÙÇÆİ áÇ íÓÇæí ÚÏÏ ÇáÈÇáÛíä ÇáĞßæÑ ÇáĞí Êã ÇÏÎÇáå İí ÓÄÇá ÃäæÇÚ ÇáãÄÓÓÇÊ,,,,,,,
text,type_institution_male_other,"If other, Please specify",yes,,${other_institution_male}>0,,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
begin_group,type_jobs_adults_female,How many female adults (aged 18 and over) in your household have worked in the following types of jobs in the past 30 days?,yes,,${over18_female} >0,field-list,,,ßã ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ (18 ÓäÉ İÃßËÑ) İí ÃÓÑÊß¡  ÇáĞíä ÚãáæÇ ÎáÇá 30 íæãÇ ÇáãÇÖíÉ İí  ÃäæÇÚ ÇáæÙÇÆİ ÇáÊÇáíÉ¿,,,,,,,
integer,permanent_job_adult_female,1. Permanent job with annual/monthly/weekly wage,yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults ,æÙíİÉ ÏÇÆãÉ ÈÃÌÑ Óäæí / ÔåÑí / ÃÓÈæÚí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,temporary_job_adult_female,2. Temporary job with weekly/daily/monthly wage,yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults ,æÙíİÉ ãÄŞÊÉ ÈÃÌÑ ÃÓÈæÚí / íæãí / ÔåÑí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,daily_labour_adult_female,3. Daily labour,yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults ,Úãá íæãí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,gvt_payroll_adult_female,4. Permanent job (government payroll) without regular attendance,yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults ,æÙíİÉ ÏÇÆãÉ (ÑÇÊÈ Íßæãí) ÈÏæä ÍÖæÑ ãäÊÙã,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,other_job_adult_female,5. Other (specify),yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults ,ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ)  ,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
end_group,,,,,,,,,,,,,,,,
calculate,calcul_jobs_adults_female_nb,,,,,,,,,,,${permanent_job_adult_female}+${temporary_job_adult_female}+${daily_labour_adult_female}+${gvt_payroll_adult_female}+${other_job_adult_female},,,,
note,error_jobs_adults_female_nb,the numbers of female adults that have worked in the past 30 days is greater than the number of female adults in this HH,yes,,${over18_female} < ${calcul_jobs_adults_female_nb},,,,ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ ÇáĞíä ÚãáæÇ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ ÃßÈÑ ãä ÚÏÏ ÇáÈÇáÛíä İí åĞå ÇáÃÓÑÉ,,,,,,,
text,type_jobs_adults_female_other,"If other, Please specify",yes,,${other_job_adult_female}>0,,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
begin_group,type_institution_female,"In total, how many women (aged 18 and over) in your household worked for the following types of institutions in the past 30 days?",yes,,${over18_female}>0,field-list,,,İí ÇáãÌãæÚ¡ ßã ÚÏÏ ÃİÑÇÏ ÃÓÑÊß ãä ÇáäÓÇÁ (18 ÓäÉ İãÇ İæŞ) ÇááæÇÊí Úãáä İí ÇáÃäæÇÚ ÇáÊÇáíÉ ãä ÇáãÄÓÓÇÊ ÎáÇá ÇáÜ 30 íæãğÇ ÇáãÇÖíÉ¿,,,,,,,
integer,gvt_public_sector_female,1. Government or public sector,yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults,ÇáŞØÇÚ ÇáÍßæãí Ãæ ÇáÚÇã,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáäÓÇÁ ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,,,,
integer,libyan_owned_business_female,2. Libyan-owned business (private sector),yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults,ÇáãÄÓÓÇÊ ÇáÊÌÇÑíÉ ÇááíÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáäÓÇÁ ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,,,,
integer,foreign_owned_business_female,3. Foreign-owned business (private sector),yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults,ÇáãÄÓÓÇÊ ÇáÊÌÇÑíÉ ÇáÃÌäÈíÉ (ÇáŞØÇÚ ÇáÎÇÕ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáäÓÇÁ ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,,,,
integer,libyan_ngos_csos_female,"4. Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults,ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇááíÈí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇááíÈíÉ¡ ãäÙãÇÊ ÇáãÌÊãÚ ÇáãÏäí¡ ÅáÎ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáäÓÇÁ ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,,,,
integer,international_ngos_female,"5. International non-profit sector (international NGO, UN agency, etc.)",yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults,ÇáŞØÇÚ ÛíÑ ÇáÑÈÍí ÇáÚÇáãí (ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ ÇáÏæáíÉ¡ ææßÇáÇÊ ÇáÃãã ÇáãÊÍÏÉ¡ ÅáÎ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáäÓÇÁ ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,,,,
integer,own_family_business_female,6. Own business or family business,yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults,ÇáãÄÓÓÇÊ ÇáÊÌÇÑíÉ ÇáÎÇÕÉ Ãæ ÇáÚÇÆáíÉ,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáäÓÇÁ ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,,,,
integer,informal_irregular_labour_female,7. Informal or irregular labour,yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults,ÇáÚãá ÛíÑ ÇáÑÓãí Ãæ ÛíÑ ÇáãäÊÙã,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáäÓÇÁ ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,,,,
integer,other_institution_female,8. Other (please specify),yes,,,,. >=0 and .<= ${over18_female},The number is greater than the total number of female adults,ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáäÓÇÁ ÇáÈÇáÛÇÊ İí ÇáÇÓÑÉ ,,,,,,
end_group,,,,,,,,,,,,,,,,
calculate,calcul_type_institution_female,,,,,,,,,,,${gvt_public_sector_female}+${libyan_owned_business_female}+${foreign_owned_business_female}+${libyan_ngos_csos_female}+${international_ngos_female}+${own_family_business_female}+${informal_irregular_labour_female}+${other_institution_female},,,,
note,calcul_type_institution_female_error,The total number of female adults entered in the question of different types of jobs does not match the total number of female adults entered in the question of different type of intitutions,yes,,${calcul_type_institution_female}!=${calcul_jobs_adults_female_nb},,,,ãÌãæÚ ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ ÇáĞí Êã ÇÏÎÇáå İí ÓÄÇá Úä ãÎÊáİ ÃäæÇÚ ÇáæÙÇÆİ áÇ íÓÇæí ÚÏÏ ÇáÇäÇË ÇáÈÇáÛÇÊ ÇáĞí Êã ÇÏÎÇáå İí ÓÄÇá ÃäæÇÚ ÇáãÄÓÓÇÊ,,,,,,,
text,type_institution_female_other,"If other, Please specify",yes,,${other_institution_female}>0,,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
begin_group,type_jobs_minors_male,"How many male children (aged 17 and under) in your household have worked in the following types of jobs in the past 30 days?
",yes,,${under18_male} >0,field-list,,,ßã ÚÏÏ ÇáÃæáÇÏ ( 17 ÓäÉ æ ÊÍÊ) İí ÃÓÑÊß¡ ÇáĞíä ÚãáæÇ ÎáÇá  30 íæãÇ ÇáãÇÖíÉ İí  ÃäæÇÚ ÇáæÙÇÆİ ÇáÊÇáíÉ¿,,,,,,,
integer,permanent_job_minor_male,1. Permanent job with annual/monthly/weekly wage,yes,,,,. >=0 and .<= ${under18_male},The number is greater than the total number of male children,æÙíİÉ ÏÇÆãÉ ÈÃÌÑ Óäæí / ÔåÑí / ÃÓÈæÚí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÃæáÇÏ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,temporary_job_minor_male,2. Temporary job with weekly/daily/monthly wage,yes,,,,. >=0 and .<= ${under18_male},The number is greater than the total number of male children,æÙíİÉ ãÄŞÊÉ ÈÃÌÑ ÃÓÈæÚí / íæãí / ÔåÑí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÃæáÇÏ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,daily_labour_minor_male,3. Daily labour,yes,,,,. >=0 and .<= ${under18_male},The number is greater than the total number of male children,Úãá íæãí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÃæáÇÏ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,other_job_minor_male,4. Other (specify),yes,,,,. >=0 and .<= ${under18_male},The number is greater than the total number of male children,ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÃæáÇÏ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
end_group,,,,,,,,,,,,,,,,
calculate,calcul_jobs_minors_male_nb,,,,,,,,,,,${permanent_job_minor_male}+${temporary_job_minor_male}+${daily_labour_minor_male}+${other_job_minor_male},,,,
note,error_jobs_minors_male_nb,the numbers of male children that have worked in the past 30 days is greater than the number of children in this HH,yes,,${under18_male} < ${calcul_jobs_minors_male_nb},,,,ÚÏÏ ÇáÃæáÇÏ ÇáĞíä ÚãáæÇ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ ÃßÈÑ ãä ÚÏÏ ÇáÃØİÇá İí åĞå ÇáÃÓÑÉ,,,,,,,
text,type_jobs_minors_male_other,"If other, Please specify",yes,,${other_job_minor_male}>0,,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
begin_group,type_jobs_minors_female,"How many female children (aged 17 and under) in your household have worked in the following types of jobs in the past 30 days?
",yes,,${under18_female} >0,field-list,,,ßã ÚÏÏ ÇáÈäÇÊ ( 17 ÓäÉ æ ÊÍÊ) İí ÃÓÑÊß¡ ÇáĞíä ÚãáæÇ ÎáÇá  30 íæãÇ ÇáãÇÖíÉ İí  ÃäæÇÚ ÇáæÙÇÆİ ÇáÊÇáíÉ¿,,,,,,,
integer,permanent_job_minor_female,1. Permanent job with annual/monthly/weekly wage,yes,,,,. >=0 and .<= ${under18_female},The number is greater than the total number of female children,æÙíİÉ ÏÇÆãÉ ÈÃÌÑ Óäæí / ÔåÑí / ÃÓÈæÚí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÈäÇÊ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,temporary_job_minor_female,2. Temporary job with weekly/daily/monthly wage,yes,,,,. >=0 and .<= ${under18_female},The number is greater than the total number of female children,æÙíİÉ ãÄŞÊÉ ÈÃÌÑ ÃÓÈæÚí / íæãí / ÔåÑí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÈäÇÊ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,daily_labour_minor_female,3. Daily labour,yes,,,,. >=0 and .<= ${under18_female},The number is greater than the total number of female children,Úãá íæãí,ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÈäÇÊ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
integer,other_job_minor_female,4. Other (specify),yes,,,,. >=0 and .<= ${under18_female},The number is greater than the total number of female children,ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),ÇáÚÏÏ íİæŞ ÚÏÏ ÇáÈäÇÊ İí ÇáÇÓÑÉ ,,,primary job,ÅÎÊÑ ÇáæÙíİÉ ÇáÃÓÇÓíÉ,,
end_group,,,,,,,,,,,,,,,,
calculate,calcul_jobs_minors_female_nb,,,,,,,,,,,${permanent_job_minor_female}+${temporary_job_minor_female}+${daily_labour_minor_female}+${other_job_minor_female},,,,
note,error_jobs_minors_female_nb,the numbers of female children that have worked in the past 30 days is greater than the number of children in this HH,yes,,${under18_female} < ${calcul_jobs_minors_female_nb},,,,ÚÏÏ ÇáÈäÇÊ ÇáĞíä ÚãáæÇ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ ÃßÈÑ ãä ÚÏÏ ÇáÃØİÇá İí åĞå ÇáÃÓÑÉ,,,,,,,
text,type_jobs_minors_female_other,"If other, Please specify",yes,,${other_job_minor_female}>0,,,,ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ,,,,,,,
begin_group,income_source,Can you estimate your household's income (in LYD) over the last 30 days from each of the following sources? ,yes,,,field-list,,,ãÇ åæ ãŞÏÇÑ ÇáÏÎá ÇáĞí ÍÕáÊ Úáíå ÇÓÑÊß ãä åĞå ÇáãÕÇÏÑ ÎáÇá Çá 30 íæãÇ ÇáãÇÖíÉ¿(ÈÇáÏíäÇÑ ÇááíÈí),,,,,,,
