data,Libya,idp,non_displaced,returnee
Prefer not to answer,0.39,0.81,0.4,0.11
What were the main challenges to obtaining enough money to meet your household's needs in the last 30 days?,,,,
Unable to withdraw enough money from bank account,74,75,76,60
Salary or wages not regularly paid,48,46,48,52
Don't know,0,0,0,0
Lack of work opportunity,11,18,10,21
No currently functioning banks/financial institutions in my area,1,2,1,0
Prefer not to answer,0,0,0,0
Salary or wages too low,35,41,35,39
Other (specify),0,0,0,0
Did your household withdraw any money from banks or ATMs in the last 30 days?,,,,
Yes,51.48,45.92,53.48,36.85
"No, unable to withdraw any money",33.95,39.18,32.05,47.82
Did not attempt to withdraw any money,12.32,10.85,12.44,11.91
Do not have a bank account,1.58,3.19,1.31,3.14
Prefer not to answer,0.52,0.33,0.59,0
Don't know,0.16,0.53,0.13,0.28
"How much money, in LYD, did your household withdraw in total over the last 30 days?",,,,
Average,1377.88,1149.32,1413.79,1175.22
When was the last time your household was able to withdraw any money from banks or ATMs?,,,,
1-2 months ago,42.41,38.99,42.28,45.2
2-3 months ago,41.38,37.5,41.09,45.76
3-6 months ago,10.5,17.37,10.62,6.23
More than 6 months ago,4.62,4.82,4.95,1.7
Prefer not to answer,0.83,0.12,0.97,0
Don't know,0.24,1.19,0.09,1.11
1. Food items,,,,
Average,569.44,505.39,571.3,583.4
2. Rent,,,,
Average,520.73,472.58,530.83,456.21
3. Shelter maintenance,,,,
Average,89.31,51.31,69.49,277.85
4. Water (from all sources combined),,,,
Average,47.76,39.33,48.8,42.76
"5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)",,,,
Average,67.72,60.68,69.45,56.03
6. Utilities (electricity and gas connections),,,,
Average,17.38,13.42,17.3,19.95
"7. Fuel (for cooking, for vehicles, etc.)",,,,
Average,80.03,79.44,81.35,68.95
"8. Health-related expenditures (healthcare, medicine, etc.)",,,,
Average,128.81,91.95,133.15,108.63
"9. Education-related expenditures (school fees, supplies, uniforms, etc.)",,,,
Average,72.84,57.08,71.99,87.51
10. Transportation ,,,,
Average,11.55,8.35,11.41,14.24
11. Mobile phone credit,,,,
Average,64.53,55.75,65.73,58.25
"12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)",,,,
Average,196.4,14.21,223.85,45.05
13. Debt repayment,,,,
Average,57.49,63.5,58.58,45.27
14. All other expenditures (specify),,,,
Average,84.64,55.68,42.39,462.27
What is your household's total amount of debt (in LYD)?,,,,
Average,2445.04,1800.01,2600.17,1728.79
What was the primary reason for taking on debt?,,,,
Accessing food,35.41,36.76,34.73,39.27
Paying for other basic needs,22.65,13.25,24.04,17.92
Paying for healthcare,14.59,23.88,13.73,15.86
Other (specify),12.97,0.73,15.53,1.86
Paying for rent,7.03,16.87,5.38,13.26
Paying for shelter maintenance,2.33,2.01,1.8,5.97
Prefer not to answer,2.1,2.53,2.33,0.36
Purchasing productive assets (for small business or income-generating activities),1.56,2.51,1.73,0.07
Paying for education,0.47,0,0.17,2.67
Purchasing non-productive assets,0.46,0.1,0.56,0
Don't know,0.37,0.68,0,2.67
Paying dowry/bride price,0.05,0.68,0,0.1
What was the payment modality most commonly used by your household in the past 30 days?,,,,
Cash (LYD),68.91,67.74,69.23,66.73
Cheques ,20.97,21.9,20.62,23.58
Prepaid or gift card,3.82,3.34,3.92,3.25
Bank transfers,2.62,4.11,2.44,3.56
Cash (foreign/non-LYD),1.5,1.08,1.64,0.54
Credit or debit card,1.13,0.56,1.2,0.81
Mobile money,0.87,0.78,0.8,1.53
Vouchers,0.09,0.45,0.08,0
Other (specify),0.07,0.04,0.08,0
Does your household have access to a marketplace or grocery store in your mahalla or close to your mahalla?,,,,
Yes,96.8,95.7,96.59,99.11
No,3.15,3.83,3.41,0.65
Don't know,0.03,0.22,0,0.24
Prefer not to answer,0.01,0.25,0,0
For how long does your household have to travel by car to get to the nearest marketplace or grocery store where you can find fresh produce?,,,,
Less than 15 minutes,75.72,74.08,77,65.52
15-29 minutes,22.47,24.17,21.51,29.91
30-59 minutes,1.28,1.67,0.91,4.29
Don't know,0.5,0.04,0.58,0.03
1-2 hours,0.03,0.04,0,0.25
"In the last 30 days, did anyone in your household face any barriers to consistently accessing marketplaces?",,,,
Live too far from marketplace / no means of transport,1,2,1,2
No barriers faced when accessing marketplace,96,95,96,96
Prefer not to answer,0,0,0,0
Insecurity travelling to and from marketplace,1,1,1,0
Marketplace never open at a time when we can visit,0,0,0,0
Other (specify),0,0,0,0
Presence of explosive hazards,0,0,0,0
Damage to roads leading to marketplace,1,1,1,1
Curfew prevented access to market,1,0,1,0
Damage to marketplace,1,0,1,1
Don't know,0,0,0,0
Transportation too expensive,1,1,1,2
"In the last 30 days, did anyone in your household face any barriers to regularly purchasing specific items on the market?",,,,
"Yes, some items are too expensive",36,41,36,33
Don't know,0,0,0,0
Prefer not to answer,0,0,0,0
"Yes, we have no means of payment (e.g., not enough hard cash, vendors do not accept prepaid cards)",13,21,13,9
Other (specify),1,0,0,1
"No, no barrier faced when purchasing market items",56,46,56,62
"Yes, some items are not available",9,9,9,6
Which items were too expensive to afford? ,,,,
Food items: fresh vegetables/fruits,63,64,63,68
NFIs: Hygiene items for men,8,6,8,9
NFIs: Household items,6,10,6,7
NFIs: Fuel,18,21,19,11
Food items: fresh fish/meat/eggs,84,85,84,81
NFIs: Hygiene items for women,17,14,18,15
Other (specify),0,0,0,0
Water,2,2,1,2
Medicine or health-related items,22,21,23,13
Food items: other,38,54,38,31
Which items were not consistently available?,,,,
Food items: fresh vegetables/fruits,36,27,34,51
NFIs: Hygiene items for men,1,2,1,2
NFIs: Household items,5,3,6,5
NFIs: Fuel,35,32,36,29
Food items: fresh fish/meat/eggs,26,37,22,50
NFIs: Hygiene items for women,3,3,3,7
Other (specify),0,0,0,0
Water,5,4,3,19
Medicine or health-related items,33,35,35,22
Food items: other,33,46,34,15
What types of financial service providers does your household have access to in or around your mahalla?,,,,
Don't know,3,4,3,4
Prefer not to answer,0,0,0,0
"Financial services provided by local businesses (e.g., petrol stations)",26,29,27,18
Other (specify),1,1,1,1
Financial services provided by members of the community,34,42,35,21
Banks,77,67,77,78
Hawala,13,16,12,20
"1. Sold non-productive household assets or goods (TV, household appliance, furniture, gold, etc.)",,,,
"No, had no need to use this coping strategy",52.91,51.58,54.15,42.86
Not applicable/This coping strategy is not available to me,31.72,26.99,31.95,31.94
Yes,13.11,16,11.97,21.64
"No, have already exhausted this coping strategy and cannot use it again",2.26,5.43,1.93,3.56
"2. Sold productive household assets or means of transport (sewing machine, wheelbarrow, car, etc.)",,,,
"No, had no need to use this coping strategy",57.89,57.74,57.79,58.89
Not applicable/This coping strategy is not available to me,31.43,28.26,31.91,28.78
Yes,8.62,9.95,8.5,9.05
"No, have already exhausted this coping strategy and cannot use it again",2.05,4.05,1.8,3.28
3. Spent savings,,,,
"No, had no need to use this coping strategy",42.67,35.14,42.36,48.86
Yes,33.14,42.24,33.22,28.19
Not applicable/This coping strategy is not available to me,18.22,14.2,18.68,16.1
"No, have already exhausted this coping strategy and cannot use it again",5.98,8.43,5.74,6.85
4. Borrowed money,,,,
"No, had no need to use this coping strategy",56.56,49,56.91,57.05
Yes,22.37,31.76,21.78,23.04
Not applicable/This coping strategy is not available to me,18.41,14,18.76,17.46
"No, have already exhausted this coping strategy and cannot use it again",2.67,5.24,2.55,2.44
5. Purchased food on credit or borrowed food,,,,
"No, had no need to use this coping strategy",54.12,46.14,54.8,51.99
Not applicable/This coping strategy is not available to me,23.64,23.78,24.34,17.55
Yes,20.78,28.21,19.5,28.35
"No, have already exhausted this coping strategy and cannot use it again",1.46,1.86,1.37,2.11
"6. Reduced expenditures on essential non-food items (water, hygiene items, etc.)",,,,
"No, had no need to use this coping strategy",58.33,56.22,58.39,58.78
Not applicable/This coping strategy is not available to me,27.75,24.04,28.44,23.49
Yes,13.5,19.03,12.76,17.22
"No, have already exhausted this coping strategy and cannot use it again",0.43,0.71,0.4,0.52
7. Reduced expenses on health or medicine,,,,
"No, had no need to use this coping strategy",61.3,61.57,61.78,57.04
Not applicable/This coping strategy is not available to me,29.11,26.84,29.49,26.92
Yes,8.59,10.27,7.73,15.24
"No, have already exhausted this coping strategy and cannot use it again",1,1.32,1,0.8
8. Child or children dropped out of school,,,,
"No, had no need to use this coping strategy",59.44,63.24,58.96,61.83
Not applicable/This coping strategy is not available to me,39.59,35.01,40.3,35.65
Yes,0.71,1.45,0.6,1.26
"No, have already exhausted this coping strategy and cannot use it again",0.26,0.29,0.14,1.25
9. Delayed or skipped paying rent,,,,
Yes,44.62,38.85,44.69,46.82
"No, had no need to use this coping strategy",44.11,44.58,46.28,26.9
Not applicable/This coping strategy is not available to me,8.22,10.03,7.95,9.43
"No, have already exhausted this coping strategy and cannot use it again",3.05,6.53,1.08,16.86
10. Asked strangers for money or food,,,,
"No, had no need to use this coping strategy",65.06,67.03,65.17,63.18
Not applicable/This coping strategy is not available to me,32.16,29.59,32.43,31.04
Yes,2.39,3.01,2.08,4.77
"No, have already exhausted this coping strategy and cannot use it again",0.39,0.37,0.32,1
11. Took an additional job,,,,
"No, had no need to use this coping strategy",41.41,36.41,42.01,38.56
Yes,33.51,41.52,33.13,33.1
Not applicable/This coping strategy is not available to me,24.64,21.68,24.39,28.19
"No, have already exhausted this coping strategy and cannot use it again",0.44,0.39,0.47,0.16
"12. HH adult member accepted socially degrading, exploitative, high-risk, or illegal work",,,,
"No, had no need to use this coping strategy",63.37,63.51,63.09,65.71
Not applicable/This coping strategy is not available to me,35.85,35.73,36.08,33.93
Yes,0.49,0.76,0.49,0.35
"No, have already exhausted this coping strategy and cannot use it again",0.29,0,0.34,0
"13. HH minor member accepted socially degrading, exploitative, high-risk, or illegal work",,,,
"No, had no need to use this coping strategy",61.93,61.35,61.23,68.31
Not applicable/This coping strategy is not available to me,37.5,38.27,38.15,31.6
Yes,0.51,0.27,0.57,0.07
"No, have already exhausted this coping strategy and cannot use it again",0.05,0.12,0.05,0.03
"14. Child marriage (i.e., marriage of a household member aged 17 or younger)",,,,
"No, had no need to use this coping strategy",61.26,61.59,60.56,67.16
Not applicable/This coping strategy is not available to me,38,37.24,38.69,32.38
Yes,0.67,0.89,0.69,0.39
"No, have already exhausted this coping strategy and cannot use it again",0.07,0.28,0.06,0.06
15. Other (please specify),,,,
"No, had no need to use this coping strategy",63.31,64.42,63.08,64.81
Not applicable/This coping strategy is not available to me,36.49,35.57,36.69,35.19
Yes,0.19,0.01,0.23,0
What is the main reason why these coping strategies were used?,,,,
Paying for healthcare,56,57,54,66
Paying for education,27,23,26,43
Accessing food,64,73,61,82
Other (specify),2,1,2,1
Paying for other basic needs,50,51,52,35
Paying for shelter,11,42,9,17
1. Boys (aged 6-14),,,,
Average,1.27,1.23,1.25,1.47
2. Girls (aged 6-14),,,,
Average,1.2,1.19,1.19,1.33
3. Male youths (aged 15-17),,,,
Average,1.15,1.11,1.15,1.19
4. Female youths (aged 15-17),,,,
Average,1.09,1.14,1.09,1.12
1. Boys (aged 6-14),,,,
Average,1.28,1.21,1.26,1.49
2. Girls (aged 6-14),,,,
Average,1.2,1.19,1.19,1.29
3. Male youths (aged 15-17),,,,
Average,1.17,1.09,1.18,1.17
4. Female youths (aged 15-17),,,,
Average,1.11,1.12,1.11,1.1
notattending_notenrolled_school_male,,,,
Average,0.06,0.09,0.05,0.07
notattending_notenrolled_school_female,,,,
Average,0.04,0.05,0.04,0.04
1. Less than 1 month,,,,
Average,0.2,0.03,0.21,0.23
2. 1-3 months,,,,
Average,0.14,0.28,0.14,0.08
3. 4-6 months,,,,
Average,0.03,0.04,0.03,0
4. More than 6 months,,,,
Average,0.02,0.03,0.03,0
5. Entire 2018-2019 school year ,,,,
Average,0.15,0.22,0.14,0.18
notattending_notenrolled_school_male_calc,,,,
Average,0.54,0.6,0.54,0.49
1. Less than 1 month,,,,
Average,0.06,0.06,0.03,0.31
2. 1-3 months,,,,
Average,0.03,0.32,0.01,0.01
3. 4-6 months,,,,
Average,0.01,0.04,0,0.01
4. More than 6 months,,,,
Average,0.03,0,0.03,0.01
5. Entire 2018-2019 school year ,,,,
Average,0.06,0.06,0.07,0
notattending_notenrolled_school_female_calc,,,,
Average,0.18,0.48,0.14,0.34
Have any children in your household ever faced any of these issues when attending school?,,,,
No issues faced by children in the household when attending school,65,66,63,79
Lack of functioning latrines,22,19,23,10
Lack of separate and safe toilets for boys and girls,11,11,12,4
Sexual violence or harassment,0,0,0,0
Lack of accessibility for students living with disabilities,2,1,2,2
Discrimination,1,2,1,1
Poor quality of teachers,15,10,16,11
Attempted recruitment by armed actors,0,0,0,1
Lack of clean water,20,17,22,9
Other (specify),0,1,0,1
Overcrowding,14,12,14,12
Don't know,0,1,0,0
Violence from teachers (excluding sexual violence or harassment),4,2,5,3
Prefer not to answer,0,0,0,0
"School building conversion into other purposes (displaced accommodation, military barracks, etc.)",1,1,1,1
Bullying/violence from other students (excluding sexual violence or harassment),2,3,2,4
"Of the school-aged children who are neither enrolled in school nor attending school, why are they not attending school?",,,,
Problems with safety and security,7,11,7,7
"Problems with child's health or behavior, lack of documentation, child marriage or pregnancy, discrimination, or the need for the child to work at home or for a salary",12,8,12,14
Don't know,28,20,26,44
Prefer not to answer,24,15,27,7
"Problems with quality, curriculum, or capacity",1,2,1,1
"Problems with school infrastructure, or school is used for other purpose",12,23,11,15
Other (specify),6,15,6,0
"Problems with means, transport, materials, or food",13,11,13,15
What are the specific problems around school infrastructure that have contributed to the school-aged children not attending school?,,,,
"Lack of basic amenities at school (potable water, heat, electricity)",100,100,100,99
Lack of infrastructure (school buildings or classrooms) to accommodate all children,20,7,21,25
Local schools overcrowded/lack of space in local schools,17,0,18,9
School is used for other purpose,0,0,0,0
Lack of latrines separated by sex,35,14,37,18
"What are the specific problems around means, transport, materials, or food that have contributed to the school-aged children not attending school?",,,,
Lack of teaching and learning materials or supplies,9,0,11,3
School fees or costs,42,40,51,11
Distance or transport constraint,61,81,49,97
Lack of food,22,2,30,0
"What are the specific problems around quality, curriculum, or capacity that have contributed to the school-aged children not attending school?",,,,
Poor quality of teaching,68,0,74,80
"One or more school level is not available (pre-primary, primary, secondary, tertiary).",9,0,0,27
Education is not seen as useful,10,100,0,0
Language,0,0,0,0
What is taught is not culturally or age appropriate,0,0,0,0
Lack of teachers,61,0,100,7
What are the specific problems around safety and security that have contributed to the school-aged children not attending school?,,,,
The child joined an armed group or military.,5,8,6,0
Displaced by conflict,3,40,0,5
Insecurity on the way to school or in the area (real or perceived),90,58,90,100
Violence at school,3,0,4,0
Displaced by natural disaster,0,1,0,0
"What are the specific problems around child vulnerabilities (health/behavior, documentation, etc.) that have contributed to the school-aged children not attending school?",,,,
The child has a prolonged illness.,10,31,9,0
"The child is pregnant, lactating, or has a child of her own.",0,0,0,21
"Social discrimination (due to ethnicity, religion, poverty, gender, health, disability, or other)",1,8,0,9
Child marriage,0,0,0,0
The child works.,32,6,35,1
The child is busy with chores.,10,5,10,43
The child has been displaced,1,13,0,1
Lack of documentation,0,0,0,9
Suspended or expelled for performance or behaviour issues,14,0,16,2
The child has a disability (access issue).,50,44,51,24
Has your household experienced barriers to re-enrollment?,,,,
Other (specify),62.06,74.43,NA,0
"Yes, lack necessary documentation",21.67,6.06,NA,100
"Yes, missed enrollment period due to displacement",9.74,11.68,NA,0
"No, have not attempted to re-enroll",6.53,7.83,NA,0
"Are the children in your household attending any kind of non-formal education, in other words, education that is completely out of the formal school system?",,,,
Don't know,0,0,0,0
No,60,63,59,67
Prefer not to answer,0,0,0,0
"Yes, non-formal education classes provided by private-sector businesses",25,16,26,25
"Yes, non-formal education classes provided by the community",4,2,4,2
"Yes, assistance from NGOs or other outside actors",0,0,0,0
"Yes, non-formal education classes provided by a public school ",6,9,6,3
"Yes, self-learning or homeschooling",11,15,10,14
Other (specify),0,0,0,0
What was the main source of drinking water used by members of this household over the past 30 days?,,,,
Public network (connected to the shelter),51.69,55.56,50.73,58.18
Bottled water,28.63,29.25,27.98,33.99
"Protected well (e.g., in your house or in the mosque)",10.32,4.78,11.54,2.38
Water trucking,6.81,7.71,6.97,4.98
Unprotected well,1.11,1.09,1.21,0.27
Tap accessible to the public  ,1.03,1.2,1.12,0.17
Rainwater,0.25,0.11,0.29,0
Other (specify),0.09,0.2,0.1,0
Don't know,0.07,0.1,0.08,0.03
"Surface water (lakes, ponds, rivers, etc.)",0,0,0,0
How far is the main source of drinking water from your dwelling?,,,,
Up to 100m,43.75,34.47,43.43,50.53
101-200m,20.13,14.64,21.26,12.76
500m or more,12.78,22.84,12.78,8.4
201-300m,10.47,14.38,10.34,9.88
301-400m,6.45,6.53,6.2,8.56
401-500m,6.43,7.14,6,9.87
"In the last month, has there been any time when your household did not have a sufficient quantity of drinking water to meet its daily needs?",,,,
No,70.92,65.88,70.98,72.79
Yes,28.36,33.83,28.23,26.95
Don't know,0.71,0.28,0.79,0.26
Prefer not to answer,0,0,0,0
How would you describe the quality of the drinking water from the main source your household used during the last 30 days? ,,,,
Water causes health issues (like diarrhea),1,1,1,1
Don't know,0,0,0,0
Prefer not to answer,0,0,0,0
Water is discoloured,3,5,3,2
Water is fine to drink ,75,74,75,79
Smell is not good ,1,2,1,1
Taste is not good ,22,22,22,20
Other (specify),0,0,0,0
"What methods does your household use, if any, to improve the quality of its drinking water?",,,,
Don't know,3,0,3,0
Prefer not to answer,1,1,1,0
Boiling,5,3,5,2
Other (specify),0,0,0,0
"Disinfection (tablets, iodine, etc.)",5,6,6,1
Water filters,52,49,51,64
No treatment methods used,36,44,36,33
"Over the past 7 days, on how many days did your household have access to water from the public network?",,,,
Every day (7 days),47.07,46.42,46.8,49.66
Most days (4-6 days),19.76,25.39,18.46,28.38
Rarely (1-3 days),18.53,13.81,19.11,15.81
Not at all (0 days),13.13,13.39,13.94,6.01
Don't know,1.51,0.99,1.69,0.13
What kind of toilet(s) does your household have access to inside its shelter or within easy reach?,,,,
Pour toilet (Arabic or Western),27,37,28,16
Flush toilet (Arabic or Western),82,72,81,89
Other (specify),0,0,0,0
Dry pit latrine (without water),0,1,0,1
Prefer not to answer,0,0,0,0
No toilet inside shelter or within easy reach,0,0,0,0
Don't know,0,0,0,0
How far is the nearest accessible toilet from your household's dwelling?,,,,
301-400m,50,50,NA,NA
500m or more,50,50,NA,NA
How did your household most often dispose of its trash over the past 30 days?,,,,
Buried or burned,9,9,9,10
Don't know,0,0,0,0
Left in the road or in a public place not designated for waste disposal,16,20,15,16
Prefer not to answer,0,0,0,0
Other (specify),0,0,0,0
"Collected by the municipality, waste management service (private or public), or other authority ",37,37,37,42
"Put in a public place designated for waste disposal, to be collected later",44,43,45,38
How far is the trash disposal point from your household's dwelling?,,,,
500m or more,27.54,20.94,29.77,11.45
101-200m,21.15,17,20.53,28.44
Up to 100m,19.41,17.5,17.95,32.88
201-300m,12.36,17.64,11.6,16.37
301-400m,11.51,16.11,11.78,7.05
401-500m,8.03,10.82,8.37,3.81
How frequently is your household's trash collected?,,,,
More than once per week,62.25,64.96,60.71,73.62
Once per week,28.08,27.53,28.8,22.41
Once every two weeks,7.47,5.27,8.11,3.26
Once per month,1.67,0.18,1.96,0.03
Don't know,0.32,1.89,0.2,0.57
Less frequently than once per month,0.19,0,0.22,0.03
Other (specify),0.02,0.18,0,0.08
"Among these products, are there any that your household requires but are unable to purchase?",,,,
Water container (or Jerry can) ,1,2,1,2
There are no hygiene products that we require but are unable to purchase,86,84,86,88
Sanitary pads,4,6,4,4
Toothpaste ,2,3,1,4
Baby diapers                                               ,4,4,4,3
Shampoo                                                     ,4,3,4,4
"Disinfectant - surface cleaner (powder, liquid detergent)",8,10,8,8
Clean toothbrushes     ,1,3,1,4
Soap (liquid and bar)                                    ,5,6,5,5
Dishwashing liquid ,2,3,2,2
"If there were products in that list that your household requires but is unable to purchase, what is the main reason why your household can't purchase them?",,,,
Other (specify),2,2,1,9
Too expensive,87,86,87,87
Quality not good,18,16,19,5
Not available in the market ,3,1,3,7
Can't reach the market ,2,0,3,1
Have you or anyone in your household been ill in the past 15 days?,,,,
No,71.13,69.54,70.94,73.51
Yes,28.35,29,28.53,26.48
Don't know,0.48,0.59,0.53,0
Prefer not to answer,0.04,0.86,0,0.01
Did you/they go to a health facility to access the needed health care?,,,,
Yes,85.66,75.19,86.7,81.64
No,14.07,24.65,12.99,18.36
Prefer not to answer,0.18,0.16,0.2,0
Don't know,0.1,0,0.11,0
Does your household face any challenges accessing health care when you need it?,,,,
No,74.77,70.31,74.41,79.91
Yes,24.21,28.69,24.6,18.81
Don't know,0.88,0.85,0.84,1.28
Prefer not to answer,0.14,0.15,0.15,0
What are the main reasons why your household has limited or no access to healthcare?,,,,
"For females, denial of permission from family members to visit health facility",0,0,0,0
Lack of means of transport to get to the healthcare facilities,2,5,1,16
Route to health facilities is unsafe ,3,3,3,0
Lack of private room(s) for receiving confidential care,4,2,4,5
Distance to health facilities is too far,14,10,12,30
No available health facilities that can accept new patients,9,6,9,2
Prefer not to answer,1,0,1,0
Lack of medical supplies,28,32,29,19
Discrimination,2,1,2,0
"For females, absence of male companion to accompany during visit to health facility",0,0,0,0
Lack of medicines,40,39,41,24
No/lack of money to pay for care,32,37,33,20
Lack of medical staff in general,39,36,39,41
Lack of documentation,0,0,0,0
Lack of female medical staff in particular,22,14,24,10
Don't know,0,0,0,0
Other (specify),0,0,0,0
Presence of explosive hazards,0,2,0,0
Health facilities have been damaged or destroyed,10,12,8,19
What does your household do when it does not have enough money to pay for all the healthcare that is needed?,,,,
Don't know,0,0,0,0
"Reduce expenditures on other HH needs (e.g., education, NFIs,  food)",11,8,10,18
Prioritize emergency cases in the household to receive care,27,48,21,76
Get medical treatment from individuals without professional training,1,1,1,0
"Revert to informal medical alternatives (e.g., traditional medicine, home treatments)",52,51,53,46
"Use expired medicine or recycle medical items (e.g., syringes)",0,0,0,0
Travel to other mantikas for required medical treatment,13,10,14,6
Other (specify),16,7,18,0
Prioritize males rather than females to receive care,0,0,0,0
Do not seek medical help,12,4,13,6
Prioritize children rather than adults to receive care,8,5,9,1
Prefer not to answer,0,0,0,0
Travel abroad for required medical treatment,4,6,4,1
Prioritize females rather than males to receive care,0,4,0,0
How much time does it take your household to travel by car from your place of residence to the nearest health service provider?,,,,
Less than 15 minutes,53.13,45.04,53.62,52.7
15-29 minutes,37.22,46.14,36.98,35.13
30-59 minutes,8.54,7.48,8.38,10.46
1-2 hours,0.85,0.57,0.78,1.61
Don't know,0.18,0.65,0.17,0.04
More than 2 hours,0.07,0,0.07,0.06
Prefer not to answer,0.01,0.12,0,0
How many women in the household gave live birth during the 2 last years?,,,,
Average,0.8,0.76,0.82,0.65
Who assisted in the delivery or deliveries?,,,,
Relatives / Friends ,0,1,0,0
Don't know,1,1,1,0
Prefer not to answer,0,2,0,0
General practitioner,5,6,6,1
Other (specify),0,0,0,0
Uncertified midwife         ,0,1,0,0
Nurse                                  ,6,7,5,17
Obstetrician,93,91,92,96
No one                                          ,0,0,0,0
Certified midwife          ,9,14,9,2
How many children born in the household within the last 2 years were fed using bottled milk or baby formula before the baby was 6 months of age?,,,,
Average,0.94,0.9,0.94,0.97
How many children in your household have vaccination cards?,,,,
Average,0.87,0.84,0.89,0.72
"How many children in your household have been required or recommended to get a particular vaccination, but have not been able to receive that vaccination?",,,,
Average,0.2,0.22,0.21,0.16
How much time does it take your household to travel by car from your place of residence to the nearest health facility that can provide vaccinations?,,,,
Less than 15 minutes,44.72,44.18,44.74,44.81
15-29 minutes,37.28,36.45,37.14,38.83
30-59 minutes,9.95,8.32,10.25,8.08
Don't know,6.51,10.58,6.46,5.08
1-2 hours,0.94,0.34,0.77,2.64
More than 2 hours,0.56,0.03,0.59,0.56
Prefer not to answer,0.05,0.11,0.05,0
Do any members of your household suffer from any medically-diagnosed chronic disease?,,,,
No,63.98,66.7,63.06,70.64
Yes,35.28,32.6,36.23,28.38
Don't know,0.62,0.7,0.58,0.98
Prefer not to answer,0.11,0,0.13,0
Which diseases do they suffer from? ,,,,
Joint pain (arthritis),11,12,10,14
Stomach ulcers,3,3,4,1
Asthma,6,5,5,8
Don't know,0,0,0,0
Prefer not to answer,1,1,1,0
Epilepsy,2,2,2,3
Heart disease,17,13,17,19
Blood pressure ,44,48,43,45
Chronic back pain (spinal cord),2,2,2,2
Kidney failure,1,1,1,1
Cataract ,2,1,2,6
Other (specify),4,4,4,1
Diabetes,57,62,56,58
Do they have adequate access to the needed health care services to treat this condition?,,,,
"Yes, adequate access",53.68,45.68,53.56,58.44
"Limited access (only sometimes, limited quantity, etc.)",44.32,48.5,44.7,39.09
No access,1.86,5.29,1.72,1.51
Don't know,0.11,0,0.02,0.95
Prefer not to answer,0.02,0.53,0,0
What are the services that are not available (when needed or prescribed)?,,,,
"Lack of availability of specialized medical investigation (fibroscopy, angiography, etc.)",13,13,11,33
"Lack of availability of radiologic tests (X-ray, ultrasound, scan, MRI, etc.)",20,13,18,38
Don't know,0,1,0,0
Prefer not to answer,0,0,0,0
Lack of availability of general practitioners for the follow-up,24,39,23,18
Lack of availability of specialized consultation,46,38,48,33
Other (specify),3,6,3,3
"Lack of availability of biologic tests (blood test, urinary test, etc.)",6,5,5,13
No access to the health facility,4,2,4,7
Lack of availability of medicines ,59,64,60,41
Do any members of your household suffer from any medically-diagnosed mental disorder?,,,,
No,97.41,96.79,97.43,97.54
Yes,2.01,2.42,2.06,1.39
Don't know,0.47,0.62,0.43,0.72
Prefer not to answer,0.11,0.16,0.08,0.35
Do they have adequate access to mental health care services?,,,,
Limited access and use this access,41,27.59,37.29,71.24
"Yes, adequate access and use this access",40.82,30.55,44.11,22.48
No access,15.52,12.5,17.06,6.27
Limited or adequate access but do not use it due to the social stigma of suffering from a mental disorder,2.37,23.23,1.54,0
Don't know,0.29,6.12,0,0
What are the services that are not available (when needed or prescribed)?,,,,
Don't know,0,0,0,0
Lack of inpatient psychiatric care,47,0,52,29
Prefer not to answer,0,0,0,0
Other (specify),0,0,0,0
"Lack of psychiatrists, psychologists, and psychotherapists",54,85,50,71
Lack of skilled nurses,32,51,36,6
No access to the health facility,14,1,13,26
Lack of community-based services,10,3,11,8
Lack of psychiatric medicines,41,26,38,62
"In your household, are there any members that have physical or cognitive difficulties (for example: mobility, hearing, sight, communicating) which impact their ability to carry out day-to-day activities such as working, studyng, walking, getting dressed, and remembering things?",,,,
Yes Male infants (aged 0-5 years) ,1,0,1,0
Don't know,0,0,0,0
Yes Male children (aged 6-14 years),1,0,1,0
Yes Male elderly (aged 65+ years),0,0,0,0
Prefer not to answer,0,0,0,0
No,97,97,97,99
Yes Female youths (aged 15-17 years) ,0,0,0,0
Yes  Female adults (aged 18-64 years) ,0,0,0,0
Yes Female children (aged 6-14 years),0,0,0,0
Yes Male adults (aged 18-64 years) ,0,1,0,0
Yes Female infants (aged 0-5 years) ,0,0,0,0
Yes Male youths (aged 15-17 years),0,0,0,0
Yes  Female elderly (aged 65+ years) ,0,0,0,0
1. No difficulty carrying out daily activities,,,,
Average,0.18,0,0.18,0.27
2. Minor difficulties carrying out daily activities but does not need assistance or attention,,,,
Average,0.35,0.16,0.37,0.17
"3. Some difficulties carrying out daily activities and needs some assistance and attention (e.g., for 1-2 hours/day)",,,,
Average,0.24,0.63,0.24,0
"4. A lot of difficulty carrying out daily activiites and needs quite a bit of assistance and atention (e.g., for 3-6 hours/day)",,,,
Average,0.02,0,0.02,0
5. Cannot carry out daily activities independently and needs permanent assistance and attention,,,,
Average,0.22,0,0.21,0.56
physical_cognitive_difficulties_male_infant_calc,,,,
Average,1.01,0.79,1.02,1
What was the cause of the disability?,,,,
"Congenital origin (i.e., present since birth)",83.71,100,82.21,100
"Pregnancy complications (i.e., complications to the mother)",16.29,0,17.79,0
1. No difficulty carrying out daily activities,,,,
Average,0.1,NA,0.1,0
